Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Darling Lili,5000000,5000000,NA,22000000.0,01-Jan-70,NA,NA,NA,NA,NA,NA,Blake Edwards,NA,6.1,858.0
The Ten Commandments,80000000,80000000,NA,13500000.0,05-Oct-56,NA,NA,NA,NA,NA,NA,NA,90.0,2.5,1677.0
12 Angry Men,0,0,NA,340000.0,13-Apr-57,NA,NA,United Artists,Original Screenplay,Drama,NA,Sidney Lumet,NA,8.9,119101.0
Twelve Monkeys,57141459,168841459,NA,29000000.0,27-Dec-95,R,NA,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,NA,8.1,169858.0
1776,0,0,NA,4000000.0,09-Nov-72,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57.0,7.0,4099.0
1941,34175000,94875000,NA,32000000.0,14-Dec-79,NA,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0
Chacun sa nuit,18435,18435,NA,1900000.0,29-Jun-07,Not Rated,NA,Strand,Original Screenplay,Thriller/Suspense,NA,NA,NA,6.3,365.0
2001: A Space Odyssey,56700000,68700000,NA,10500000.0,02-Apr-68,NA,NA,NA,Original Screenplay,NA,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0
"20,000 Leagues Under the Sea",28200000,28200000,NA,5000000.0,23-Dec-54,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,NA,Richard Fleischer,92.0,NA,NA
"20,000 Leagues Under the Sea",8000000,8000000,NA,200000.0,24-Dec-16,NA,NA,NA,Based on Book/Short Story,Adventure,NA,NA,NA,NA,NA
24 7: Twenty Four Seven,72544,72544,NA,2000000.0,15-Apr-98,R,NA,October Films,Original Screenplay,Comedy,NA,Shane Meadows,NA,6.9,1417.0
Twin Falls Idaho,985341,1027228,NA,500000.0,30-Jul-99,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0
Three Kingdoms: Resurrection of the Dragon,0,22139590,NA,20000000.0,03-Apr-08,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,NA,NA
3 Men and a Baby,167780960,167780960,NA,15000000.0,25-Nov-87,NA,NA,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,NA,5.7,16764.0
3 Ninjas Kick Back,11744960,11744960,NA,20000000.0,06-May-94,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17.0,3.2,3107.0
Forty Shades of Blue,75828,172569,NA,1500000.0,28-Sep-05,R,NA,Vitagraph Films,Original Screenplay,Drama,NA,NA,NA,6.0,873.0
42nd Street,2300000,2300000,NA,439000.0,09-Mar-33,NA,NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95.0,7.7,4263.0
Four Rooms,4301000,4301000,NA,4000000.0,25-Dec-95,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0
The Four Seasons,42488161,42488161,NA,6500000.0,22-May-81,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71.0,7.0,1814.0
Four Weddings and a Funeral,52700832,242895809,NA,4500000.0,09-Mar-94,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96.0,7.1,39003.0
51 Birch Street,84689,84689,NA,350000.0,18-Oct-06,Not Rated,NA,Truly Indie,NA,NA,NA,NA,97.0,7.4,439.0
55 Days at Peking,10000000,10000000,NA,17000000.0,NA,NA,NA,NA,Original Screenplay,Drama,NA,NA,57.0,6.8,2104.0
Nine 1/2 Weeks,6734844,6734844,NA,18000000.0,21-Feb-86,NA,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,NA,5.4,12731.0
AstÈrix aux Jeux Olympiques,999811,132999811,NA,113500000.0,04-Jul-08,Not Rated,NA,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,4.9,5620.0
The Abyss,54243125,54243125,NA,70000000.0,09-Aug-89,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88.0,7.6,51018.0
Action Jackson,20257000,20257000,NA,7000000.0,12-Feb-88,NA,NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10.0,4.6,3856.0
Ace Ventura: Pet Detective,72217396,107217396,NA,12000000.0,04-Feb-94,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49.0,6.6,63543.0
Ace Ventura: When Nature Calls,108360063,212400000,NA,30000000.0,10-Nov-95,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,NA,5.6,51275.0
April Fool's Day,12947763,12947763,NA,5000000.0,27-Mar-86,NA,NA,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,31.0,NA,NA
Among Giants,64359,64359,NA,4000000.0,26-Mar-99,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,NA,NA,NA,5.7,546.0
Annie Get Your Gun,8000000,8000000,NA,3768785.0,17-May-50,NA,NA,MGM,Based on Book/Short Story,Musical,NA,NA,100.0,7.1,1326.0
Alice in Wonderland,0,0,NA,3000000.0,28-Jul-51,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Musical,NA,NA,20.0,6.7,63458.0
The Princess and the Cobbler,669276,669276,NA,24000000.0,25-Aug-95,G,NA,Miramax,Original Screenplay,Adventure,Fantasy,NA,NA,7.3,893.0
The Alamo,7900000,7900000,NA,12000000.0,24-Oct-60,PG-13,NA,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54.0,5.9,10063.0
Alexander's Ragtime Band,4000000,4000000,NA,2000000.0,NA,NA,NA,20th Century Fox,Original Screenplay,Drama,NA,NA,NA,NA,NA
Alive,36299670,36299670,NA,32000000.0,15-Jan-93,R,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71.0,3.2,124.0
Amen,274299,274299,NA,14000000.0,24-Jan-03,Not Rated,NA,Kino International,Based on Play,Drama,NA,Costa-Gavras,NA,7.4,5416.0
American Graffiti,115000000,140000000,NA,777000.0,11-Aug-73,NA,NA,Universal,Original Screenplay,Comedy,NA,George Lucas,97.0,7.6,30952.0
American Ninja 2: The Confrontation,4000000,4000000,NA,350000.0,NA,NA,NA,NA,Original Screenplay,Action,NA,Sam Firstenberg,NA,3.7,2495.0
The American President,60022813,107822813,NA,62000000.0,17-Nov-95,PG-13,NA,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90.0,6.8,22780.0
Annie Hall,38251425,38251425,NA,4000000.0,20-Apr-77,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,98.0,8.2,65406.0
Anatomie,9598,9598,NA,2500000.0,08-Sep-00,Not Rated,NA,Sony Pictures,Original Screenplay,Horror,NA,NA,NA,6.1,6266.0
The Adventures of Huck Finn,24103594,24103594,NA,6500000.0,02-Apr-93,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62.0,5.8,3095.0
The Apartment,18600000,24600000,NA,3000000.0,NA,NA,NA,United Artists,Original Screenplay,Romantic Comedy,NA,Billy Wilder,91.0,8.4,36485.0
Apocalypse Now,78800000,78800000,3479242.0,31500000.0,15-Aug-79,R,NA,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98.0,8.6,173141.0
Arachnophobia,53208180,53208180,NA,31000000.0,18-Jul-90,NA,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85.0,6.2,20528.0
Arn - Tempelriddaren,0,14900000,NA,16500000.0,25-Dec-07,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,6.4,6251.0
Arnolds Park,23616,23616,NA,600000.0,19-Oct-07,PG-13,NA,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.1,77.0
Sweet Sweetback's Baad Asssss Song,15200000,15200000,NA,150000.0,01-Jan-71,NA,NA,NA,NA,NA,NA,NA,NA,5.6,1769.0
And Then Came Love,8158,8158,NA,989000.0,01-Jun-07,Not Rated,NA,Fox Meadow,NA,Comedy,NA,NA,17.0,4.4,200.0
Around the World in 80 Days,42000000,42000000,NA,6000000.0,17-Oct-56,PG,NA,United Artists,Based on Book/Short Story,Adventure,NA,NA,73.0,5.6,21516.0
Barbarella,0,0,NA,9000000.0,10-Oct-68,NA,NA,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,74.0,5.7,10794.0
Barry Lyndon,20000000,20000000,NA,11000000.0,NA,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,NA,Stanley Kubrick,94.0,8.1,39909.0
"Barbarians, The",800000,800000,NA,4000000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,236.0
Babe,63658910,246100000,NA,30000000.0,04-Aug-95,G,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98.0,7.3,35644.0
Boynton Beach Club,3127472,3127472,NA,2900000.0,24-Mar-06,R,104.0,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,NA,NA
Baby's Day Out,16581575,16581575,NA,50000000.0,01-Jul-94,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21.0,5.0,8332.0
Bound by Honor,4496583,4496583,NA,35000000.0,16-Apr-93,NA,NA,Walt Disney Pictures,Original Screenplay,NA,NA,Taylor Hackford,NA,7.7,10142.0
"Bon Cop, Bad Cop",12671300,12671300,NA,8000000.0,04-Aug-06,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,67.0,6.9,151.0
Back to the Future,210609762,381109762,NA,19000000.0,03-Jul-85,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96.0,8.4,201598.0
Back to the Future Part II,118450002,332000000,NA,40000000.0,22-Nov-89,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64.0,7.5,87341.0
Back to the Future Part III,87666629,243700000,NA,40000000.0,24-May-90,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71.0,7.1,77541.0
Butch Cassidy and the Sundance Kid,102308900,102308900,NA,6000000.0,24-Oct-69,NA,NA,20th Century Fox,NA,Western,Historical Fiction,George Roy Hill,90.0,8.2,57602.0
Bad Boys,65647413,141247413,NA,23000000.0,07-Apr-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39.0,6.6,53929.0
Body Double,8801940,8801940,NA,10000000.0,26-Oct-84,NA,NA,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84.0,6.4,9738.0
"The Beast from 20,000 Fathoms",5000000,5000000,NA,210000.0,13-Jun-53,NA,NA,Warner Bros.,Based on Book/Short Story,NA,NA,NA,90.0,NA,NA
Beastmaster 2: Through the Portal of Time,773490,773490,NA,6000000.0,30-Aug-91,NA,NA,New Line,Based on Book/Short Story,NA,Fantasy,NA,17.0,3.3,1327.0
The Beastmaster,10751126,10751126,NA,5000000.0,20-Aug-82,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,NA,50.0,5.7,5734.0
Ben-Hur,9000000,9000000,NA,3900000.0,30-Dec-25,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,NA,NA,8.2,58510.0
Ben-Hur,73000000,73000000,NA,15000000.0,18-Nov-59,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,William Wyler,91.0,8.2,58510.0
Benji,31559560,31559560,NA,500000.0,15-Nov-74,NA,NA,NA,Original Screenplay,Adventure,NA,NA,83.0,5.8,1801.0
Before Sunrise,5274005,5274005,NA,2500000.0,27-Jan-95,R,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100.0,8.0,39705.0
Beauty and the Beast,171340294,403476931,NA,20000000.0,13-Nov-91,G,NA,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93.0,3.4,354.0
The Best Years of Our Lives,23600000,23600000,NA,2100000.0,21-Nov-46,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Drama,NA,William Wyler,97.0,8.2,17338.0
The Ballad of Gregorio Cortez,909000,909000,NA,1305000.0,19-Aug-83,NA,NA,Embassy,Based on Book/Short Story,Western,Historical Fiction,NA,NA,NA,NA
My Big Fat Independent Movie,4655,4655,NA,3000000.0,30-Sep-05,R,NA,Big Fat Movies,NA,Comedy,Contemporary Fiction,NA,23.0,3.2,1119.0
Battle for the Planet of the Apes,8800000,8800000,NA,1800000.0,NA,NA,NA,20th Century Fox,NA,NA,Science Fiction,Jack Lee Thompson,38.0,5.0,6094.0
Big Things,0,0,NA,50000.0,31-Dec-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogus,4357406,4357406,NA,32000000.0,06-Sep-96,PG,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40.0,4.8,2742.0
Beverly Hills Cop,234760478,316300000,NA,15000000.0,05-Dec-84,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83.0,7.3,45065.0
Beverly Hills Cop II,153665036,276665036,NA,20000000.0,20-May-87,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46.0,6.1,29712.0
Beverly Hills Cop III,42586861,119180938,NA,50000000.0,25-May-94,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10.0,5.0,21199.0
The Black Hole,35841901,35841901,NA,20000000.0,21-Dec-79,NA,NA,Walt Disney Pictures,Original Screenplay,NA,Science Fiction,NA,42.0,5.6,7810.0
Bathory,0,3436763,NA,15000000.0,10-Jul-08,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1446.0
Big,114968774,151668774,NA,18000000.0,03-Jun-88,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96.0,7.2,49256.0
The Big Parade,11000000,22000000,NA,245000.0,01-Jan-25,NA,NA,MGM,Based on Play,Drama,NA,King Vidor,100.0,8.4,2600.0
Boyz n the Hood,56190094,56190094,NA,6500000.0,12-Jul-91,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98.0,7.8,30299.0
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,NA,2000000.0,12-Sep-03,PG,NA,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,NA,NA
Return to the Blue Lagoon,2000000,2000000,NA,11000000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4632.0
"Bright Lights, Big City",16118077,16118077,NA,25000000.0,01-Apr-88,R,NA,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,NA,61.0,6.8,11929.0
The Blue Bird,887000,887000,NA,1200000.0,NA,NA,NA,20th Century Fox,Based on Play,NA,Fantasy,George Cukor,NA,4.9,359.0
The Blue Butterfly,1610194,1610194,NA,10400000.0,20-Feb-04,PG,NA,Alliance,Original Screenplay,Drama,Contemporary Fiction,NA,44.0,6.2,817.0
Blade Runner,32656328,33139618,NA,28000000.0,25-Jun-82,R,NA,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92.0,8.3,185546.0
Bloodsport,11806119,11806119,NA,1500000.0,26-Feb-88,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,NA,NA,6.2,19816.0
The Blues Brothers,57229890,57229890,NA,27000000.0,20-Jun-80,NA,NA,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84.0,7.9,62941.0
Blow Out,13747234,13747234,NA,18000000.0,24-Jul-81,NA,NA,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89.0,7.1,10239.0
De battre mon coeur s'est arrÍtÈ,1023424,8589831,NA,5500000.0,01-Jul-05,Not Rated,NA,WellSpring,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,7295.0
The Broadway Melody,2800000,4358000,NA,379000.0,NA,NA,NA,MGM,Original Screenplay,Musical,NA,NA,38.0,6.7,2017.0
Boom Town,9172000,9172000,NA,2000000.0,NA,NA,NA,MGM,Original Screenplay,NA,NA,NA,NA,7.1,1115.0
Bound,3802260,6300000,NA,4500000.0,04-Oct-96,R,NA,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88.0,7.4,23564.0
Bang,527,527,NA,10000.0,01-Apr-96,NA,NA,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff ""King Jeff"" Hollins",NA,6.3,369.0
Bill & Ted's Bogus Journey,37537675,37537675,NA,20000000.0,19-Jul-91,NA,NA,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58.0,5.8,20188.0
The Birth of a Nation,10000000,11000000,NA,110000.0,08-Feb-15,NA,NA,NA,Based on Book/Short Story,Drama,NA,NA,100.0,7.1,8901.0
The Ballad of Cable Hogue,3500000,5000000,NA,3716946.0,13-May-70,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92.0,7.3,3125.0
The Blood of Heroes,882290,882290,NA,7700000.0,23-Feb-90,NA,NA,New Line,Original Screenplay,Action,NA,NA,NA,6.2,2523.0
Boomerang,70052444,131052444,NA,42000000.0,01-Jul-92,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,37.0,5.9,202.0
The Bridge on the River Kwai,33300000,33300000,NA,3000000.0,18-Dec-57,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,NA,David Lean,95.0,8.4,58641.0
Born on the Fourth of July,70001698,70001698,NA,14000000.0,20-Dec-89,NA,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89.0,7.2,32108.0
Basquiat,2962051,2962051,NA,3000000.0,09-Aug-96,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69.0,6.7,7935.0
Black Rain,45892212,45892212,NA,30000000.0,22-Sep-89,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57.0,4.1,137.0
Bottle Rocket,407488,407488,NA,5000000.0,21-Feb-96,R,NA,Sony Pictures,Based on Short Film,Adventure,NA,Wes Anderson,79.0,7.2,21980.0
Braindead,242623,242623,NA,3000000.0,12-Feb-93,NA,NA,Trimark,Original Screenplay,Horror,NA,Peter Jackson,NA,7.6,32827.0
The Bridges of Madison County,71516617,175516617,NA,22000000.0,02-Jun-95,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90.0,7.2,21923.0
The Brothers McMullen,10426506,10426506,NA,25000.0,09-Aug-95,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91.0,6.4,4365.0
Dracula,82522790,215862692,NA,40000000.0,13-Nov-92,R,NA,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,NA,6.4,136.0
Broken Arrow,70645997,148345997,NA,65000000.0,09-Feb-96,R,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55.0,5.8,33584.0
Brainstorm,8921050,8921050,NA,15000000.0,30-Sep-83,NA,NA,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,NA,64.0,6.3,4410.0
Braveheart,75545647,209000000,NA,72000000.0,24-May-95,R,NA,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77.0,8.4,240642.0
Brazil,9929135,9929135,NA,15000000.0,18-Dec-85,R,136.0,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98.0,8.0,76635.0
Blazing Saddles,119500000,119500000,NA,2600000.0,01-Jan-74,NA,NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89.0,7.8,45771.0
The Basket,609042,609042,NA,1300000.0,05-May-00,PG,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.3,343.0
Bathing Beauty,3500000,3500000,NA,2361000.0,NA,NA,NA,MGM,Original Screenplay,Musical,NA,NA,NA,6.2,487.0
Bill & Ted's Excellent Adventure,39916091,39916091,NA,10000000.0,17-Feb-89,NA,NA,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81.0,6.7,30341.0
A Bridge Too Far,50800000,50800000,NA,26000000.0,15-Jun-77,NA,NA,MGM,Based on Book/Short Story,Action,NA,Sir Richard Attenborough,67.0,7.3,16882.0
Beetle Juice,73326666,73326666,NA,15000000.0,30-Mar-88,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,NA,7.3,61197.0
Batman Returns,162831698,266822354,NA,80000000.0,18-Jun-92,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78.0,6.9,78673.0
Batman Forever,184031112,336529144,NA,100000000.0,16-Jun-95,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43.0,5.4,76218.0
Batman,251188924,411348924,NA,35000000.0,23-Jun-89,PG-13,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71.0,7.6,111464.0
Buffy the Vampire Slayer,14231669,14231669,NA,7000000.0,31-Jul-92,NA,NA,20th Century Fox,Original Screenplay,Horror,Fantasy,NA,32.0,5.3,16056.0
Bienvenue chez les Ch'tis,1470856,243470856,NA,16000000.0,25-Jul-08,Not Rated,109.0,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7.0,7129.0
Beyond the Valley of the Dolls,9000000,9000000,NA,1000000.0,01-Jan-70,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,NA,68.0,5.7,4626.0
Broken Vessels,15030,85343,NA,600000.0,02-Jul-99,R,NA,NA,Original Screenplay,Drama,NA,NA,NA,6.4,399.0
The Boys from Brazil,19000000,19000000,NA,12000000.0,NA,NA,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,NA,Franklin J. Schaffner,65.0,7.0,8741.0
The Business of Fancy Dancing,174682,174682,NA,200000.0,10-May-02,Not Rated,NA,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.0,355.0
Caddyshack,39846344,39846344,NA,6000000.0,25-Jul-80,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75.0,7.3,35436.0
Cape Fear,79091969,182291969,NA,35000000.0,15-Nov-91,R,NA,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76.0,7.3,47196.0
Clear and Present Danger,122012656,207500000,NA,62000000.0,03-Aug-94,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78.0,6.8,29612.0
Carrie,25878153,25878153,NA,1800000.0,16-Nov-76,NA,NA,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90.0,7.4,38767.0
Casino Royale,22744718,41744718,NA,12000000.0,28-Apr-67,NA,NA,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30.0,8.0,172936.0
Camping Sauvage,3479302,3479302,NA,4600000.0,16-Jul-04,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,6.0,378.0
The Cotton Club,25928721,25928721,NA,48000000.0,14-Dec-84,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74.0,6.3,6940.0
Close Encounters of the Third Kind,166000000,337700000,NA,20000000.0,16-Nov-77,NA,NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95.0,7.8,59049.0
The Cable Guy,60240295,102825796,NA,47000000.0,14-Jun-96,PG-13,95.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52.0,5.8,51109.0
Chocolate: Deep Dark Secrets,49000,1549000,NA,1000000.0,16-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,527.0
Child's Play,33244684,44196684,NA,9000000.0,09-Nov-88,NA,NA,United Artists,Original Screenplay,Horror,Fantasy,NA,70.0,6.3,16165.0
Child's Play 2,26904572,34166572,NA,13000000.0,09-Nov-90,NA,NA,Universal,Original Screenplay,Horror,Fantasy,NA,38.0,5.1,8666.0
Chain Reaction,21226204,60209334,NA,55000000.0,02-Aug-96,PG-13,106.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13.0,5.2,15817.0
Charly,814666,814666,NA,950000.0,27-Sep-02,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,5.8,60.0
Chariots of Fire,57159946,57159946,NA,5500000.0,25-Sep-81,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86.0,7.3,16138.0
